Departamento,Hecho Vistimizante,No.Victimas
Córdoba,Confinamiento,0
Córdoba,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,321
Córdoba,Desaparición forzada,6173
Córdoba,Desplazamiento Forzado,354043
Córdoba,"Homicidio, Masacre",26603
Córdoba,Lesiones Personales Fisicas,126
Córdoba,Lesiones Personales Psicologicas,3
Córdoba,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",81
Córdoba,Perdida de Bienes Muebles o Inmuebles,1169
Córdoba,SIN INFORMACION,0
Córdoba,Secuestro,185
Córdoba,Tortura,73
Córdoba,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",36
Guainía,Abandono o Despojo Forzado de Tierras,0
Guainía,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",68
Guainía,Amenaza,799
Guainía,Confinamiento,0
Guainía,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,11
Guainía,Desaparición forzada,53
Guainía,Desplazamiento Forzado,11878
Guainía,"Homicidio, Masacre",88
Guainía,Lesiones Personales Fisicas,1
Guainía,Lesiones Personales Psicologicas,0
Guainía,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",1
Guainía,Perdida de Bienes Muebles o Inmuebles,55
Guainía,SIN INFORMACION,0
Guainía,Secuestro,9
Guainía,Tortura,3
Guainía,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",6
Guaviare,Abandono o Despojo Forzado de Tierras,0
Guaviare,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",339
Guaviare,Amenaza,1520
Guaviare,Confinamiento,0
Guaviare,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,36
Guaviare,Desaparición forzada,2433
Guaviare,Desplazamiento Forzado,43747
Guaviare,"Homicidio, Masacre",4127
Guaviare,Lesiones Personales Fisicas,49
Guaviare,Lesiones Personales Psicologicas,0
Guaviare,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",68
Guaviare,Perdida de Bienes Muebles o Inmuebles,747
Guaviare,SIN INFORMACION,0
Guaviare,Secuestro,56
Guaviare,Tortura,20
Guaviare,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",71
Huila,Abandono o Despojo Forzado de Tierras,0
Huila,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",1577
Huila,Amenaza,12985
Huila,Confinamiento,0
Huila,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,403
Huila,Desaparición forzada,2905
Huila,Desplazamiento Forzado,191909
Huila,"Homicidio, Masacre",23710
Huila,Lesiones Personales Fisicas,213
Huila,Lesiones Personales Psicologicas,14
Huila,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",263
Huila,Perdida de Bienes Muebles o Inmuebles,3456
Huila,SIN INFORMACION,2
Huila,Secuestro,379
Huila,Tortura,176
Huila,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",131
La Guajira,Abandono o Despojo Forzado de Tierras,0
La Guajira,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",814
La Guajira,Amenaza,3363
La Guajira,Confinamiento,0
La Guajira,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,889
La Guajira,Desaparición forzada,1543
La Guajira,Desplazamiento Forzado,168088
La Guajira,"Homicidio, Masacre",13213
La Guajira,Lesiones Personales Fisicas,91
La Guajira,Lesiones Personales Psicologicas,3
La Guajira,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",5
La Guajira,Perdida de Bienes Muebles o Inmuebles,1339
La Guajira,SIN INFORMACION,1
La Guajira,Secuestro,281
La Guajira,Tortura,65
La Guajira,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",7
Magdalena,Abandono o Despojo Forzado de Tierras,0
Magdalena,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",924
Magdalena,Amenaza,12982
Magdalena,Confinamiento,0
